n,n_eff,v_cut,ll_neut,ll_plei,Ip_plei,dLL_plei,dLL_per_locus_plei,stat_plei,condition,replicate,dataset,beta_col
548,398402.0,7.458995057696262e-05,172.14104999807466,172.0417863965353,2.2387211385683196e-05,-0.09926360153937708,-0.00018113795901346182,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260523,causal,beta_true_smiles
649,398402.0,7.458995057696262e-05,270.75463983782316,283.73776443218003,0.8503823894478727,12.983124594356866,0.020004814475126143,6.459121859997111,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p,beta_p
649,398402.0,7.458995057696262e-05,156.45749620857217,156.42757201211126,0.00017367851365124475,-0.029924196460910935,-4.610816095671947e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p_wc,beta_p_wc
649,398402.0,7.458995057696262e-05,243.68110711980404,243.8612966577313,0.02909499985566699,0.180189537927248,0.00027764181498805547,0.2609850952315946,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p_post,beta_p_post
547,398402.0,7.458995057696262e-05,191.06370986761567,190.96892761017244,5.700437693282071e-05,-0.09478225744322799,-0.00017327652183405482,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260524,causal,beta_true_smiles
588,398402.0,7.458995057696262e-05,258.0009595339604,273.1641181151966,1.054737850002122,15.163158581236189,0.025787684661966306,7.437542968010207,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p,beta_p
588,398402.0,7.458995057696262e-05,128.8483640893684,128.8258068039077,0.0001652493075939429,-0.022557285460692356,-3.8362730375327136e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p_wc,beta_p_wc
588,398402.0,7.458995057696262e-05,195.66416474775855,195.6538578450843,2.2387211385683196e-05,-0.010306902674244611,-1.7528746044633693e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p_post,beta_p_post
582,398402.0,7.458995057696262e-05,184.57922886738424,184.44079303217924,4.707369837974408e-05,-0.13843583520500147,-0.00023786225980240803,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260525,causal,beta_true_smiles
652,398402.0,7.458995057696262e-05,270.8379002415155,279.4898753600565,0.6902615333838052,8.651975118540975,0.013269900488559777,4.4968578238027765,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p,beta_p
652,398402.0,7.458995057696262e-05,144.94642700016743,144.88690146354722,0.00012561683635826855,-0.05952553662021387,-9.129683530707649e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p_wc,beta_p_wc
652,398402.0,7.458995057696262e-05,230.54076013054134,230.70091956384786,0.026030260575269946,0.16015943330651794,0.0002456433026173588,0.24304754185874547,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p_post,beta_p_post
415,398402.0,7.458995057696262e-05,84.66423905412529,84.76688429492226,0.001629981282018334,0.10264524079697424,0.0002473379296312632,0.1867633889042945,neutral,simulated_neutral_ldl_replicate_seed_30260526,causal,beta_true_smiles
479,398402.0,7.458995057696262e-05,157.16693163129634,174.32271328629378,0.38079257937591465,17.15578165499744,0.03581582808976501,8.32828725331227,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p,beta_p
479,398402.0,7.458995057696262e-05,86.32814387226234,87.8178138951156,0.041014691864194104,1.4896700228532609,0.003109958294056912,1.0739990876299597,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p_wc,beta_p_wc
479,398402.0,7.458995057696262e-05,136.75871944732162,143.4908710054328,0.19782859313256257,6.732151558111184,0.014054596154720635,3.6141338385408392,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p_post,beta_p_post
127,398402.0,7.458995057696262e-05,39.40572011669325,44.359769621019716,0.022906616105611923,4.954049504326463,0.03900826381359419,2.7836941900336307,selected,simulated_ldl_replicate_seed_20260517,causal,beta_true_smiles
148,398402.0,7.458995057696262e-05,65.73673836269727,81.03350477016687,0.12846625458084981,15.296766407469605,0.10335652978020003,7.497364696772742,selected,simulated_ldl_replicate_seed_20260517,beta_p,beta_p
148,398402.0,7.458995057696262e-05,50.06701853390499,61.818916041548604,0.09778746844797609,11.751897507643612,0.07940471288948386,5.904246341889166,selected,simulated_ldl_replicate_seed_20260517,beta_p_wc,beta_p_wc
148,398402.0,7.458995057696262e-05,62.36285764919945,75.91546893455146,0.11827702455385672,13.552611285352008,0.09157169787400005,6.7151707787229125,selected,simulated_ldl_replicate_seed_20260517,beta_p_post,beta_p_post
548,398402.0,7.458995057696262e-05,191.3290368039084,205.2435717461244,0.544454904170551,13.914534942215994,0.025391487120832106,6.877718829233455,selected,simulated_ldl_replicate_seed_20260518,causal,beta_true_smiles
588,398402.0,7.458995057696262e-05,278.5836467499877,351.13740505284443,3.4827230905784092,72.55375830285675,0.12339074541302168,32.69154478868402,selected,simulated_ldl_replicate_seed_20260518,beta_p,beta_p
588,398402.0,7.458995057696262e-05,126.85162432346253,140.8503953661793,0.8147244358182559,13.998771042716768,0.023807433746116952,6.915532258600399,selected,simulated_ldl_replicate_seed_20260518,beta_p_wc,beta_p_wc
588,398402.0,7.458995057696262e-05,199.11023079351722,215.3191085554071,1.7325919373203487,16.20887776188988,0.027566118642669866,7.905371198688937,selected,simulated_ldl_replicate_seed_20260518,beta_p_post,beta_p_post
480,398402.0,7.458995057696262e-05,187.9354496668724,193.72234072574227,0.4711870646303223,5.786891058869884,0.012056023039312257,3.1746502938612373,selected,simulated_ldl_replicate_seed_20260519,causal,beta_true_smiles
620,398402.0,7.458995057696262e-05,309.633407592035,378.86205716753074,4.737101554851897,69.22864957549575,0.11165911221854154,31.237420318044553,selected,simulated_ldl_replicate_seed_20260519,beta_p,beta_p
620,398402.0,7.458995057696262e-05,145.41889967525594,154.39709699117404,0.7285362599117898,8.978197315918095,0.01448096341277112,4.645845829216081,selected,simulated_ldl_replicate_seed_20260519,beta_p_wc,beta_p_wc
620,398402.0,7.458995057696262e-05,210.48529199177005,215.95010974687634,1.1688237385430649,5.4648177551062815,0.008814222185655293,3.0239339290684764,selected,simulated_ldl_replicate_seed_20260519,beta_p_post,beta_p_post
560,398402.0,7.458995057696262e-05,182.93619589939397,196.03392554967,0.4091566823186638,13.097729650276023,0.02338880294692147,6.510678399803047,selected,simulated_ldl_replicate_seed_20260520,causal,beta_true_smiles
613,398402.0,7.458995057696262e-05,276.9844390604727,347.22157595711207,2.9062306463950023,70.23713689663936,0.11457934240887334,31.678497763826496,selected,simulated_ldl_replicate_seed_20260520,beta_p,beta_p
613,398402.0,7.458995057696262e-05,140.97375117521332,155.25986192351496,0.7184095060452921,14.286110748301638,0.023305237762319148,7.0444665926796874,selected,simulated_ldl_replicate_seed_20260520,beta_p_wc,beta_p_wc
613,398402.0,7.458995057696262e-05,216.8465318706463,235.62255547888913,1.5932903356824792,18.776023608242838,0.030629728561570698,9.050580946621578,selected,simulated_ldl_replicate_seed_20260520,beta_p_post,beta_p_post
582,398402.0,7.458995057696262e-05,207.27673662597812,222.65391201214496,0.4923903923930483,15.37717538616684,0.026421263550114846,7.533359956798367,selected,simulated_ldl_replicate_seed_20260521,causal,beta_true_smiles
650,398402.0,7.458995057696262e-05,304.6331897173432,382.44705382938815,3.1459651421190435,77.81386411204494,0.11971363709545375,34.99098235645601,selected,simulated_ldl_replicate_seed_20260521,beta_p,beta_p
650,398402.0,7.458995057696262e-05,145.53886129105146,158.01058968161388,0.6216275781390131,12.471728390562419,0.019187274447019106,6.228878999355873,selected,simulated_ldl_replicate_seed_20260521,beta_p_wc,beta_p_wc
