n,n_eff,v_cut,ll_neut,ll_stab,I2_stab,dLL_stab,dLL_per_locus_stab,stat_stab,condition,replicate,dataset,beta_col
649,398402.0,7.458995057696262e-05,243.68110711980404,243.84169125279467,0.09055941194992839,0.16058413299063545,0.00024743317872208853,0.2434350851036335,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p_post,beta_p_post
547,398402.0,7.458995057696262e-05,191.06370986761567,191.0655709444106,5.701078634725074e-05,0.001861076794938299,3.402334177218097e-06,0.02165891094997255,neutral,simulated_neutral_ldl_replicate_seed_30260524,causal,beta_true_smiles
588,398402.0,7.458995057696262e-05,258.0009595339604,273.3681575317212,0.6159575476808302,15.367197997760798,0.02613469047238231,7.528893846075201,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p,beta_p
588,398402.0,7.458995057696262e-05,128.8483640893684,128.98310198191098,0.05301686733167095,0.1347378925425744,0.00022914607575267755,0.2191905956666929,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p_wc,beta_p_wc
588,398402.0,7.458995057696262e-05,195.66416474775855,195.66437109116646,7.943282347242691e-06,0.0002063434079104809,3.5092416311306273e-07,0.007096566078537476,neutral,simulated_neutral_ldl_replicate_seed_30260524,beta_p_post,beta_p_post
582,398402.0,7.458995057696262e-05,184.57922886738424,184.5814096783448,5.7824165648084754e-05,0.0021808109605672144,3.7470978703904028e-06,0.023492324047823334,neutral,simulated_neutral_ldl_replicate_seed_30260525,causal,beta_true_smiles
652,398402.0,7.458995057696262e-05,270.8379002415155,279.90096455618124,0.49092553830091473,9.063064314665723,0.0139004053905916,4.684565102017684,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p,beta_p
652,398402.0,7.458995057696262e-05,144.94642700016743,144.94810241651393,0.0001650729000809981,0.0016754163465009242,2.5696569731609268e-06,0.02052486328279365,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p_wc,beta_p_wc
652,398402.0,7.458995057696262e-05,230.54076013054134,230.7243772530035,0.0993723647987471,0.18361712246215234,0.0002816213534695588,0.2639895819241501,neutral,simulated_neutral_ldl_replicate_seed_30260525,beta_p_post,beta_p_post
415,398402.0,7.458995057696262e-05,84.66423905412529,84.89145900686917,0.020015534287632187,0.22721995274388007,0.0005475179584189881,0.3008267757088046,neutral,simulated_neutral_ldl_replicate_seed_30260526,causal,beta_true_smiles
479,398402.0,7.458995057696262e-05,157.16693163129634,173.0579818967684,0.27322688918127863,15.891050265472074,0.0331754702828227,7.763273996460843,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p,beta_p
479,398402.0,7.458995057696262e-05,86.32814387226234,89.05181633790554,0.11678385645682489,2.7236724656431903,0.005686163811363654,1.707786259257145,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p_wc,beta_p_wc
479,398402.0,7.458995057696262e-05,136.75871944732162,142.5816492360931,0.17862947630861836,5.822929788771489,0.012156429621652379,3.1914811869826067,neutral,simulated_neutral_ldl_replicate_seed_30260526,beta_p_post,beta_p_post
127,398402.0,7.458995057696262e-05,39.40572011669325,45.91037297526292,0.028006937678817345,6.504652858569671,0.051217739043855674,3.5087127907297813,selected,simulated_ldl_replicate_seed_20260517,causal,beta_true_smiles
148,398402.0,7.458995057696262e-05,65.73673836269727,81.99877047659528,0.09070206767567225,16.262032113898016,0.10987859536417578,7.929128527899262,selected,simulated_ldl_replicate_seed_20260517,beta_p,beta_p
148,398402.0,7.458995057696262e-05,50.06701853390499,63.87363121319329,0.07759678895118412,13.8066126792883,0.09328792350870473,6.829262419195641,selected,simulated_ldl_replicate_seed_20260517,beta_p_wc,beta_p_wc
148,398402.0,7.458995057696262e-05,62.36285764919945,76.98051598802999,0.08806923395023095,14.617658338830545,0.09876796174885503,7.193141047423534,selected,simulated_ldl_replicate_seed_20260517,beta_p_post,beta_p_post
548,398402.0,7.458995057696262e-05,191.3290368039084,207.02884054258965,0.38128524566362004,15.699803738681254,0.02864927689540375,7.677732397535687,selected,simulated_ldl_replicate_seed_20260518,causal,beta_true_smiles
588,398402.0,7.458995057696262e-05,278.5836467499877,353.5180550042513,1.2212832654512837,74.93440825426364,0.12743946982017626,33.73236659793051,selected,simulated_ldl_replicate_seed_20260518,beta_p,beta_p
588,398402.0,7.458995057696262e-05,126.85162432346253,144.2648770158193,0.5190800944678856,17.413252692356778,0.029614375327137378,8.443175535311516,selected,simulated_ldl_replicate_seed_20260518,beta_p_wc,beta_p_wc
588,398402.0,7.458995057696262e-05,199.11023079351722,215.16679641513917,0.83161415902394,16.056565621621957,0.02730708439051353,7.837283642985965,selected,simulated_ldl_replicate_seed_20260518,beta_p_post,beta_p_post
480,398402.0,7.458995057696262e-05,187.9354496668724,195.39624519005,0.3974810297300918,7.460795523177609,0.015543324006620018,3.9504991508788776,selected,simulated_ldl_replicate_seed_20260519,causal,beta_true_smiles
620,398402.0,7.458995057696262e-05,309.633407592035,381.93927861673865,1.568231439567119,72.30587102470366,0.11662237262048977,32.58315545925347,selected,simulated_ldl_replicate_seed_20260519,beta_p,beta_p
620,398402.0,7.458995057696262e-05,145.41889967525594,158.46900781187966,0.595394320402788,13.05010813662372,0.02104856151068342,6.48925704672605,selected,simulated_ldl_replicate_seed_20260519,beta_p_wc,beta_p_wc
620,398402.0,7.458995057696262e-05,210.48529199177005,216.72482346867898,0.6833889759928528,6.2395314769089225,0.010063760446627294,3.3855894439356713,selected,simulated_ldl_replicate_seed_20260519,beta_p_post,beta_p_post
560,398402.0,7.458995057696262e-05,182.93619589939397,197.6115894391245,0.3194438498748192,14.675393539730521,0.02620605989237593,7.219020710579913,selected,simulated_ldl_replicate_seed_20260520,causal,beta_true_smiles
