trait,drop_count,I2_LL,Ip_LL,Ir_LL,Ipr_LL,I2_I2,Ip_Ip,Ir_r,Ir_II,Ipr_r,Ipr_II
dbp,0,202.8171894682066,201.4693340714148,203.7039006270593,203.74155353017903,0.7030280549222571,1.6073243187918531,2.483213357197433,3.3629330063138885,4.238052283439861,2996.4785108542333
dbp,1,204.7974353558649,203.08610940494904,205.6859326221204,205.6742836117475,0.7413435805254089,1.7683107769947346,2.454051812649075,3.13899818517608,4.233151850717526,3344.4881564939724
dbp,2,205.9569114712057,204.0964093424328,206.73467705144608,206.65971625169504,0.8060234112812421,1.877411917259897,2.41736593045787,2.8677115381182,4.14696463507762,2731.1072753144485
dbp,5,209.3020162418928,207.0384959277417,209.9155264100521,209.7729022359676,0.8419629260757526,2.2467900918126853,2.397333696241377,3.000412654070866,4.006969841283351,2161.2307302434288
diverticulitis,0,36.65716773307748,36.81073910058767,38.01046586062555,37.47681483367357,0.0609482075073922,0.1346099455059078,0.222102898192906,0.0011360873028228,0.0,0.0014051660914404
diverticulitis,1,38.42389958267877,38.26499872877108,38.93836756207251,38.41476968604712,0.0873984853588423,0.2304870260963817,0.8522585910471995,0.0063709099794767,0.9336928962381764,0.0183444202347198
diverticulitis,2,39.05665555304584,38.92877144574976,39.80826536976287,39.19365080528386,0.1090920163118856,0.2905903914598489,0.6717961607172109,0.0047505752194106,0.7229293501459917,0.0132781037697296
diverticulitis,5,39.90652283698096,39.88279771728123,40.66934508375937,40.071801764177465,0.1308864025761698,0.4326461192170956,0.9419336854631372,0.0111022784377713,1.0254465558614858,0.0384886789707055
fvc,0,357.5033560193311,361.0867385043125,361.2874701113335,361.1807634065172,1.0366329284377025,3.23910334576136,1.374366413178954,0.1266314054247703,1.775103668593237,1.4245976852146571
fvc,1,359.481978639544,362.9538363780936,363.0765063651419,362.9789054347436,1.041539586807522,3.3854332695161578,1.4159766243670615,0.1523005998680603,1.8858177768807631,2.2297202476967386
fvc,2,360.91717471044393,364.3927208470676,364.4614222581559,364.3957057946329,1.121766183548197,3.5110302425462034,1.436975390733934,0.1667619501691197,1.9608982176644492,3.0419145265899874
fvc,5,361.1745406218592,363.8214587520063,363.5983512465789,363.9016550218309,1.24541043427863,3.7402479245785103,1.5296804987153805,0.2457072627013954,2.2145758419081285,8.240473615483134
gallstones,0,32.88023096165315,33.29880823165858,33.68374746320693,33.36696397585627,0.0073075118998016,0.0190473246602653,0.9916304951876138,0.0026552629446256,1.4678108521315152,0.0083844541966038
gallstones,1,33.27735496503625,32.9830917802266,33.29843082989011,33.090606340645664,0.0209080004127871,0.0294206554359529,2.343228469602758,0.0383452292035344,3.381350502029035,0.3444696898750577
gallstones,2,33.27735496503625,32.9830917802266,33.29843082989011,33.090606340645664,0.0209080004127871,0.0294206554359529,2.343228469602758,0.0383452292035344,3.381350502029035,0.3444696898750577
gallstones,5,31.936295354732675,31.747023296195906,31.99324110847542,31.75530572527861,0.0291768943298823,0.0462942810346367,1.5120491322708798,0.0120683165593509,2.3115907408971896,0.0878435076527331
glaucoma,0,21.9319306146284,21.77628659372501,22.52134192457649,22.29491224468085,0.0117231134736108,0.0122568509888967,7.231227478181715,100.0,8.429937062764655,864.5763489146665
glaucoma,1,21.9319306146284,21.77628659372501,22.52134192457649,22.29491224468085,0.0117231134736108,0.0122568509888967,7.231227478181715,100.0,8.429937062764655,864.5763489146665
glaucoma,2,19.685800479225797,19.68396699938472,19.688157064819404,19.690472361498195,0.0016337424505948,0.0001582667369545,0.5511620269462254,0.0001069816083117,0.0,6.568547351693182e-06
glaucoma,5,20.225031644470988,20.20963108477863,20.2478002336849,20.230916607816265,0.0117204776892695,0.0101815172171818,1.1667029723114912,0.0019273518738442,0.8345203534474087,0.0009765546120597
grip_strength,0,117.36307240644516,117.89923035125,118.23817813372376,118.28132468218443,3.2305565210067444,9.644989469490849,0.6548906699968728,0.0126184547282141,0.5198708741703114,0.0212674837810409
grip_strength,1,119.47472964062467,119.7160832407525,119.89604894605785,119.81544316195809,3.6060458967414752,11.056761193165968,1.0135444739915456,0.0599221922388659,1.2259279924443796,0.4491857423298325
