trait	fit_name	n_loci	n_replaced	plei_ll_gain	stab_ll_gain	dir_ll_gain	full_ll_gain	plei_aic_gain	stab_aic_gain	dir_aic_gain	full_aic_gain	trait_label
t2d	raw_all	208.0	208	0.0469170146599111	-0.0007427227072724	1.2327041062454782	1.2335694274928244	-1.9061659706801777	-2.001485445414545	0.4654082124909564	-1.5328611450143512	T2D
t2d	raw_z2	208.0	189	0.0466650385332627	-0.000753615234089	1.283275973633394	1.284229630301624	-1.9066699229334745	-2.001507230468178	0.5665519472667881	-1.431540739396752	T2D
t2d	raw_z5	208.0	67	0.0466650385332627	-0.000753615234089	0.9047021468783214	0.9055898915247838	-1.9066699229334745	-2.001507230468178	-0.1905957062433572	-2.1888202169504325	T2D
triglycerides	matched_original_post	417.0	0	0.1495875202238323	-0.0023169957724178	0.5606552182476321	0.5620587110323072	-1.7008249595523353	-2.004633991544836	-0.8786895635047358	-2.8758825779353856	Triglycerides
triglycerides	raw_all	417.0	417	0.3942802504299436	0.5596332981682792	1.4059983542639145	0.6951551183165634	-1.2114394991401127	-0.8807334036634415	0.811996708527829	-2.609689763366873	Triglycerides
triglycerides	raw_z2	417.0	216	0.1479476324457493	-0.0025575657331273	0.6168409003450108	0.6182703586175649	-1.7041047351085012	-2.0051151314662548	-0.7663181993099784	-2.7634592827648703	Triglycerides
triglycerides	raw_z5	417.0	24	0.1479476330566456	-0.0025575657331273	0.3948298481584515	0.4347456013016995	-1.7041047338867088	-2.0051151314662548	-1.2103403036830969	-3.130508797396601	Triglycerides
wbc	matched_original_post	557.0	0	2.214087477031825	0.1819736884534677	0.0279872934152081	0.2170524180626216	2.4281749540636497	-1.6360526230930643	-1.944025413169584	-3.5658951638747567	WBC
wbc	raw_all	557.0	557	0.7184106392769252	-0.0026545392256878	-0.0045507733466081	0.0225846379573226	-0.5631787214461497	-2.005309078451376	-2.0091015466932163	-3.954830724085354	WBC
wbc	raw_z2	557.0	406	0.1620056918232251	-0.0025896645985028	0.0481388350569602	0.7406833537833393	-1.6759886163535498	-2.0051793291970057	-1.90372232988608	-2.518633292433321	WBC
wbc	raw_z5	557.0	26	0.1620057063258002	-0.0025896645985028	0.0337764072859272	1.494166782792547	-1.6759885873483995	-2.0051793291970057	-1.9324471854281453	-1.0116664344149058	WBC
