trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
height	matched_original_post	2034	0	10.477403721542828	18.492616986912935	-0.014386323597364026	10.496045473797835	18.954807443085656	34.98523397382587	-2.028772647194728	16.99209094759567	8.015213265370107
height	raw_z2	2034	1636	29.77123398216088	26.616857172229174	0.003943510893691382	29.819488156440798	57.54246796432176	51.23371434445835	-1.9921129782126172	55.638976312881596	-3.154376809931705
height	raw_z5	2034	277	42.16099261761747	40.04672766876274	0.10263660880684711	42.233759331263855	82.32198523523493	78.09345533752548	-1.7947267823863058	80.46751866252771	-2.114264948854725
ldl	matched_original_post	390	0	-0.0019324516376286738	0.11411439114277755	3.0500237263713075	3.1101923049144773	-2.0038649032752573	-1.771771217714445	4.100047452742615	2.2203846098289546	0.11604684278040622
ldl	raw_z2	390	102	-0.0019282374058207097	1.8671234133170742	3.420242085407409	3.6032134319682996	-2.0038564748116414	1.7342468266341484	4.840484170814818	3.206426863936599	1.869051650722895
ldl	raw_z5	390	11	0.32566939284791374	0.11554051081117223	3.6617871772844524	3.849707668592629	-1.3486612143041725	-1.7689189783776555	5.323574354568905	3.6994153371852576	-0.21012888203674152
rbc	matched_original_post	666	0	1.070339034762526	3.3709865588366483	0.15892442011727326	1.2487256919169454	0.1406780695250518	4.741973117673297	-1.6821511597654535	-1.5025486161661092	2.3006475240741224
rbc	raw_z2	666	446	-0.0036100480770642207	0.23740393467028298	0.3421029997055598	0.8935567824164536	-2.0072200961541284	-1.525192130659434	-1.3157940005888804	-2.2128864351670927	0.2410139827473472
rbc	raw_z5	666	44	2.9365380231199083	5.2642570087765534	0.05915734108259585	3.0092290593455573	3.8730760462398166	8.528514017553107	-1.8816853178348083	2.0184581186911146	2.327718985656645
sbp	matched_original_post	699	0	14.47812271574395	21.80290857833836	1.4409838108580857	15.872241053602977	26.9562454314879	41.60581715667672	0.8819676217161714	27.744482107205954	7.3247858625944104
sbp	raw_z2	699	427	12.576778613032161	17.518111837564675	2.0915097622421968	14.130725282880974	23.153557226064322	33.03622367512935	2.1830195244843935	24.261450565761947	4.941333224532514
sbp	raw_z5	699	16	20.640628763782615	25.795345403608735	0.8294600332046116	21.462144359995477	39.28125752756523	49.59069080721747	-0.3410799335907768	38.924288719990955	5.15471663982612
scz	matched_original_post	172	0	7.826890326379811	8.738858185707727	0.49689122417539977	8.172797744060873	13.653780652759622	15.477716371415454	-1.0062175516492005	12.345595488121745	0.9119678593279161
scz	raw_z2	172	1	7.472704398409476	8.499439411423566	0.8255090154904536	8.057479728988255	12.945408796818953	14.998878822847132	-0.34898196901909273	12.11495945797651	1.0267350130140898
scz	raw_z5	172	0	7.826890326379811	8.738858185707727	0.49689122417539977	8.172797744060873	13.653780652759622	15.477716371415454	-1.0062175516492005	12.345595488121745	0.9119678593279161
t2d	matched_original_post	208	0	-0.0007536152340890112	0.2754222312526906	0.5961488446933316	0.5970365710352041	-2.001507230468178	-1.4491555374946188	-0.8077023106133367	-2.8059268579295917	0.2761758464867796
t2d	raw_z2	208	189	-0.0007536152340890112	0.04666503853326276	1.283275973633394	1.284229630301624	-2.001507230468178	-1.9066699229334745	0.5665519472667881	-1.4315407393967519	0.04741865376735177
t2d	raw_z5	208	67	-0.0007536152340890112	0.04666503853326276	0.9047021468783214	0.9055898915247838	-2.001507230468178	-1.9066699229334745	-0.1905957062433572	-2.1888202169504325	0.04741865376735177
triglycerides	matched_original_post	417	0	-0.0023169957724178403	0.14958752022383237	0.5606552182476321	0.5620587110323072	-2.0046339915448357	-1.7008249595523353	-0.8786895635047358	-2.8758825779353856	0.1519045159962502
triglycerides	raw_z2	417	216	-0.002557565733127376	0.14794763244574938	0.6168409003450108	0.6182703586175649	-2.0051151314662548	-1.7041047351085012	-0.7663181993099784	-2.7634592827648703	0.15050519817887675
triglycerides	raw_z5	417	24	-0.002557565733127376	0.1479476330566456	0.39482984815845157	0.4347456013016995	-2.0051151314662548	-1.7041047338867088	-1.2103403036830969	-3.130508797396601	0.15050519878977298
