trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
height	raw_z5	2034	277	42.16099261761747	40.04672766876274	0.1026366088068471	42.233759331263855	82.32198523523493	78.09345533752548	-1.7947267823863058	80.46751866252771	-2.114264948854725
ldl	matched_original_post	390	0	-0.0019324516376286	0.1141143911427775	3.0500237263713075	3.1101923049144773	-2.0038649032752573	-1.771771217714445	4.100047452742615	2.2203846098289546	0.1160468427804062
ldl	raw_all	390	390	2.424582111310116	2.026113691414082	1.258174269928105	3.245678622007432	2.849164222620232	2.052227382828164	0.5163485398562102	2.491357244014864	-0.3984684198960337
ldl	raw_z2	390	102	-0.0019282374058207	1.8671234133170744	3.420242085407409	3.6032134319683	-2.0038564748116414	1.7342468266341484	4.840484170814818	3.206426863936599	1.869051650722895
ldl	raw_z5	390	11	0.3256693928479137	0.1155405108111722	3.661787177284453	3.849707668592629	-1.3486612143041723	-1.7689189783776555	5.323574354568905	3.6994153371852576	-0.2101288820367415
rbc	matched_original_post	666	0	1.070339034762526	3.3709865588366483	0.1589244201172732	1.2487256919169454	0.1406780695250518	4.741973117673297	-1.6821511597654537	-1.5025486161661092	2.3006475240741224
rbc	raw_all	666	666	-0.0037298239782899	0.2340782095608915	0.3245148590711437	0.3275997868947797	-2.00745964795658	-1.531843580878217	-1.3509702818577125	-3.3448004262104405	0.2378080335391814
rbc	raw_z2	666	446	-0.0036100480770642	0.2374039346702829	0.3421029997055598	0.8935567824164536	-2.0072200961541284	-1.525192130659434	-1.3157940005888804	-2.2128864351670927	0.2410139827473472
rbc	raw_z5	666	44	2.9365380231199083	5.2642570087765534	0.0591573410825958	3.0092290593455573	3.8730760462398166	8.528514017553107	-1.8816853178348083	2.0184581186911146	2.327718985656645
sbp	matched_original_post	699	0	14.47812271574395	21.80290857833836	1.4409838108580857	15.872241053602975	26.9562454314879	41.60581715667672	0.8819676217161714	27.744482107205958	7.32478586259441
sbp	raw_all	699	699	0.0160235158662658	5.279820116066219	0.5827478832879365	0.5864426277411212	-1.9679529682674683	8.559640232132438	-0.834504233424127	-2.8271147445177576	5.263796600199953
sbp	raw_z2	699	427	12.57677861303216	17.518111837564675	2.0915097622421968	14.130725282880974	23.15355722606432	33.03622367512935	2.183019524484393	24.261450565761947	4.941333224532514
sbp	raw_z5	699	16	20.640628763782612	25.79534540360873	0.8294600332046116	21.46214435999548	39.28125752756523	49.59069080721747	-0.3410799335907768	38.92428871999096	5.15471663982612
scz	matched_original_post	172	0	7.826890326379811	8.738858185707727	0.4968912241753997	8.172797744060873	13.653780652759622	15.477716371415454	-1.0062175516492005	12.345595488121743	0.911967859327916
scz	raw_all	172	172	-inf	13.360060257484974	3.75271052545672	-inf	-inf	24.72012051496995	5.505421050913441	-inf	inf
scz	raw_z2	172	1	7.472704398409476	8.499439411423566	0.8255090154904536	8.057479728988255	12.945408796818953	14.998878822847132	-0.3489819690190927	12.11495945797651	1.0267350130140898
